as_of_date,release_revision,revision_fingerprint,source_list,source_reported_registry_status,coverage_class,record_count
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Exempt - Dissolution Pending","unkeyed",119
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Exempt - Dissolution Waiver Issued","keyed",135
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Exempt - Dissolution Waiver Issued","unkeyed",659
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Exempt - Dissolved","keyed",20571
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Exempt - Dissolved","unkeyed",2471
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Exempt - Withdrawn","keyed",7
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Exempt - Withdrawn","unkeyed",9
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Never Registered - Diss. Waiver Issued","keyed",14
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Never Registered - Diss. Waiver Issued","unkeyed",2355
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Never Registered - Dissolution Pending","keyed",608
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Never Registered - Dissolution Pending","unkeyed",467
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Never Registered - Dissolved","keyed",6601
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Never Registered - Dissolved","unkeyed",41734
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Never Registered - Withdrawn","unkeyed",474
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Trust Closed","keyed",243
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Trust Closed","unkeyed",1
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Withdrawn","keyed",1813
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-not-operating","Withdrawn","unkeyed",2114
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-undetermined-status","Enforcement Action Pending","keyed",22
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-undetermined-status","Enforcement Action Pending","unkeyed",1
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-undetermined-status","Not Registered","keyed",9
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-undetermined-status","Not Registered","unkeyed",128445
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Delinquent","keyed",13080
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Delinquent - Late Fees Due","keyed",89
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Mutual Benefit","keyed",123
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Mutual Benefit","unkeyed",65771
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Not Registered - Cease and Desist Order","keyed",4
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","charities-may-not-operate","Not Registered - Cease and Desist Order","unkeyed",827
