from_as_of_date,from_release_revision,from_revision_fingerprint,to_as_of_date,to_release_revision,to_revision_fingerprint,gap_days,starting_delinquent_count,ending_published_delinquent_count,observed_exit_count,still_delinquent_count,not_observed_count,matched_observed_entry_count,newly_observed_delinquent_count,total_entrant_count,net_delinquent_movement,observed_exit_denominator_id,observed_exit_proportion,largest_transition_from_status,largest_transition_to_status,largest_transition_count,matched_entry_denominator_id,total_entrant_denominator_id,observed_exit_wilson_95_lower,observed_exit_wilson_95_upper
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f",21,5476,13169,65,5411,0,7750,8,7758,7693,"starting_published_delinquent_cohort_v1",0.011869978086194303,"Dissolved","Dissolved",59445,"matched_observed_entry_population_v1","all_entrant_population_v1",0.009324368355387197,0.015099962134184651
"2026-08-05",1,"7ad3ab19817a1313620f611713f58715b87734a0533d8e27e9ee71425602216f","2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876",14,13169,13071,104,13065,0,2,4,6,-98,"starting_published_delinquent_cohort_v1",0.007897334649555774,"Current","Current",59527,"matched_observed_entry_population_v1","all_entrant_population_v1",0.006522479123769954,0.009559203744951016
